text_id, feature_id, feature_from_class, text_type, text_order, text_text
0,0,1,0,0,"Spellcasting"
1,0,1,2,1,"You have learned to untangle and reshape the fabric of reality in harmony with your wishes and music. Your spells are part of your vast repertoire, magic that you can tune to different situations."
2,1,1,1,0,"Cantrips"
3,1,1,2,1,"You know two cantrips of your choice from the bard spell list. You learn additional bard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Bard table."
4,2,1,1,0,"Spell Slots"
5,2,1,2,1,"The Bard table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."
6,2,1,2,2,"For example, if you know the 1st-level spell cure wounds and have a 1st-level and a 2nd-level spell slot available, you can cast cure wounds using either slot."
7,3,1,1,0,"Spells Known of Ist Level and Higher"
8,3,1,2,1,"You know four 1st-level spells of your choice from the bard spell list."
9,3,1,2,2,"The Spells Known column of the Bard table shows when you learn more bard spells of your choice. Each of these spells must be of a level for which you have spell slots, as shown on the table. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level."
10,3,1,2,3,"Additionally, when you gain a level in this class, you can choose one of the bard spells you know and replace it with another spell from the bard spell list, which also must be of a level for which you have spell slots."
11,4,1,1,0,"Spellcasting Ability"
12,4,1,2,1,"Charisma is your spellcasting ability for your bard spells. Your magic comes from the heart and soul you pour into the performance of your music or oration. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a bard spell you cast and when making an attack roll with one."
13,4,1,2,2,"<b>Spell save DC</b> = 8 + your proficiency bonus + your Charisma modifier."
14,4,1,2,3,"<b>Spell attack modifier</b> = your proficiency bonus + your Charisma modifier."
15,5,1,1,0,"Ritual Casting"
16,5,1,2,1,"You can cast any bard spell you know as a ritual if that spell has the ritual tag."
17,5,1,2,2,"Spellcasting Focus You can use a musical instrument (see Equipment) as a spellcasting focus for your bard spells."
18,6,1,0,0,"Bardic Inspiration"
19,6,1,2,1,"You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6."
20,6,1,2,2,"Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time."
21,6,1,2,3,"You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest. Your Bard#P#ic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level."
22,7,1,0,0,"Jack of All Trades"
23,7,1,2,1,"Starting at 2nd level, you can add half your proficiency bonus, rounded down, to any ability check you make that doesn't already include your proficiency bonus."
24,8,1,0,0,"Song of Rest"
25,8,1,2,1,"Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points at the end of the short rest by spending one or more Hit Dice, each of those creatures regains an extra 1d6 hit points."
26,8,1,2,2,"The extra hit points increase when you reach certain levels in this class: to 1d8 at 9th level, to 1d10 at 13th level, and to 1d12 at 17th level."
27,9,1,0,0,"Bard College"
28,9,1,2,1,"At 3rd level, you delve into the advanced techniques of a bard college of your choice, such as the College of Lore. Your choice grants you features at 3rd level and again at 6th and 14th level."
29,10,1,0,0,"Expertise"
30,10,1,2,1,"At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies."
31,10,1,2,2,"At 10th level, you can choose another two skill proficiencies to gain this benefit."
32,11,1,0,0,"Ability Score Improvement"
