text_id, feature_id, feature_from_class, text_type, text_order, text_text
0,0,3,0,0,"Druidic"
1,0,3,2,1,"You know Druidic, the secret language of druids. You can speak the language and use it to leave hidden messages. You and others who know this language automatically spot such a message. Others spot the message's presence with a successful DC 15 Wisdom (Perception) check but can't decipher it without magic."
2,1,3,0,0,"Spellcasting"
3,1,3,2,1,"Drawing on the divine essence of nature itself, you can cast spells to shape that essence to your will."
4,2,3,1,0,"Cantrips"
5,2,3,2,1,"At 1st level, you know two cantrips of your choice from the druid spell list. You learn additional druid cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Druid table."
6,3,3,1,0,"Preparing and Casting Spells"
7,3,3,2,1,"The Druid table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these druid spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."
8,3,3,2,2,"You prepare the list of druid spells that are available for you to cast, choosing from the druid spell list. When you do so, choose a number of druid spells equal to your Wisdom modifier + your druid level (minimum of one spell). The spells must be of a level for which you have spell slots."
9,3,3,2,3,"For example, if you are a 3rd-level druid, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell cure wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells."
10,3,3,2,4,"You can also change your list of prepared spells when you finish a long rest. Preparing a new list of druid spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list."
11,4,3,1,0,"Spellcasting Ability"
12,4,3,2,1,"Wisdom is your spellcasting ability for your druid spells, since your magic draws upon your devotion and attunement to nature. You use your Wisdom whenever a spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a druid spell you cast and when making an attack roll with one."
13,4,3,2,2,"<b>Spell save DC</b> = 8 + your proficiency bonus + your Wisdom modifier."
14,4,3,2,3,"<b>Spell attack modifier</b> = your proficiency bonus + your Wisdom modifier."
15,5,3,1,0,"Ritual Casting"
16,5,3,2,1,"You can cast a druid spell as a ritual if that spell has the ritual tag and you have the spell prepared."
17,6,3,1,0,"Spellcasting Focus"
18,6,3,2,1,"You can use a druidic focus (see Equipment) as a spellcasting focus for your druid spells."
19,7,3,0,0,"Wild Shape"
20,7,3,2,1,"Starting at 2nd level, you can use your action to magically assume the shape of a beast that you have seen before. You can use this feature twice. You regain expended uses when you finish a short or long rest."
21,7,3,2,2,"Your druid level determines the beasts you can transform into, as shown in the Beast Shapes table. At 2nd level, for example, you can transform into any beast that has a challenge rating of 1/4 or lower that doesn't have a flying or swimming speed."
22,7,3,4,3,"Beast Shapes"
23,7,3,5,4,"Level_::_Max. CR_::_Limitations_::_Example"
24,7,3,6,5,"2nd_::_1/4_::_No flying or swimming speed_::_Wolf"
25,7,3,6,6,"4th_::_1/2_::_No flying speed_::_Crocodile"
26,7,3,6,7,"8th_::_1_::_-_::_Giant Eagle"
27,7,3,2,8,"You can stay in a beast shape for a number of hours equal to half your druid level (rounded down). You then revert to your normal form unless you expend another use of this feature. You can revert to your normal form earlier by using a bonus action on your turn. You automatically revert if you fall unconscious, drop to 0 hit points, or die."
28,7,3,2,9,"While you are transformed, the following rules apply:"
29,7,3,3,10,"Your game statistics are replaced by the statistics of the beast, but you retain your alignment, personality, and Intelligence, Wisdom, and Charisma scores. You also retain all of your skill and saving throw proficiencies, in addition to gaining those of the creature. If the creature has the same proficiency as you and the bonus in its stat block is higher than yours, use the creature's bonus instead of yours. If the creature has any legendary or lair actions, you can't use them."
30,7,3,3,11,"When you transform, you assume the beast's hit points and Hit Dice. When you revert to your normal form, you return to the number of hit points you had before you transformed. However, if you revert as a result of dropping to 0 hit points, any excess damage carries over to your normal form. For example, if you take 10 damage in animal form and have only 1 hit point left, you revert and take 9 damage. As long as the excess damage doesn't reduce your normal form to 0 hit points, you aren't knocked unconscious."
31,7,3,3,12,"You can't cast spells, and your ability to speak or take any action that requires hands is limited to the capabilities of your beast form. Transforming doesn't break your concentration on a spell you've already cast, however, or prevent you from taking actions that are part of a spell, such as call lightning, that you've already cast."
32,7,3,3,13,"You retain the benefit of any features from your class, race, or other source and can use them if the new form is physically capable of doing so. However, you can't use any of your special senses, such as darkvision, unless your new form also has that sense."
33,7,3,3,14,"You choose whether your equipment falls to the ground in your space, merges into your new form, or is worn by it. Worn equipment functions as normal, but the GM decides whether it is practical for the new form to wear a piece of equipment, based on the creature's shape and size. Your equipment doesn't change size or shape to match the new form, and any equipment that the new form can't wear must either fall to the ground or merge with it. Equipment that merges with the form has no effect until you leave the form."
34,8,3,0,0,"Druid Circle"
35,8,3,2,1,"At 2nd level, you choose to identify with a circle of druids, such as the Circle of the Land. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level."
36,9,3,0,0,"Ability Score Improvement"
37,9,3,2,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."
38,10,3,0,0,"Timeless Body"
39,10,3,2,1,"Starting at 18th level, the primal magic that you wield causes you to age more slowly. For every 10 years that pass, your body ages only 1 year."
40,11,3,0,0,"Beast Spells"
41,11,3,2,1,"Beginning at 18th level, you can cast many of your druid spells in any shape you assume using Wild Shape. You can perform the somatic and verbal components of a druid spell while in a beast shape, but you aren't able to provide material components."
42,12,3,0,0,"Archdruid"
43,12,3,2,1,"At 20th level, you can use your Wild Shape an unlimited number of times."
44,12,3,2,2,"Additionally, you can ignore the verbal and somatic components of your druid spells, as well as any material components that lack a cost and aren't consumed by a spell. You gain this benefit in both your normal shape and your beast shape from Wild Shape."
45,13,3,0,0,"Circle of the Land"
46,13,3,2,1,"The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites."
47,14,3,1,0,"Bonus Cantrip"
48,14,3,2,1,"When you choose this circle at 2nd level, you learn one additional druid cantrip of your choice."
49,15,3,1,0,"Natural Recovery"
50,15,3,2,1,"Starting at 2nd level, you can regain some of your magical energy by sitting in meditation and communing with nature. During a short rest, you choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your druid level (rounded up), and none of the slots can be 6th level or higher. You can't use this feature again until you finish a long rest."
51,15,3,2,2,"For example, when you are a 4th-level druid, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level slot or two 1st-level slots."
52,16,3,1,0,"Circle Spells"
53,16,3,2,1,"Your mystical connection to the land infuses you with the ability to cast certain spells. At 3rd, 5th, 7th, and 9th level you gain access to circle spells connected to the land where you became a druid. Choose that land-arctic, coast, desert, forest, grassland, mountain, or swamp-and consult the associated list of spells."
54,16,3,2,2,"Once you gain access to a circle spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you gain access to a spell that doesn't appear on the druid spell list, the spell is nonetheless a druid spell for you."
55,16,3,4,3,"Arctic"
56,16,3,5,4,"Druid Level_::_Circle Spells"
57,16,3,6,5,"3rd_::_hold person, spike growth"
58,16,3,6,6,"5th_::_sleet storm, slow"
59,16,3,6,7,"7th_::_freedom of movement, ice storm"
60,16,3,6,8,"9th_::_commune with nature, cone of cold"
61,16,3,4,9,"Coast"
62,16,3,5,10,"Druid Level_::_Circle Spells"
63,16,3,6,11,"3rd_::_mirror image, misty step"
64,16,3,6,12,"5th_::_water breathing, water walk"
65,16,3,6,13,"7th_::_control water, freedom of movement"
66,16,3,6,14,"9th_::_conjure elemental, scrying"
67,16,3,4,15,"Desert"
68,16,3,5,16,"Druid Level_::_Circle Spells"
69,16,3,6,17,"3rd_::_blur, silence"
70,16,3,6,18,"5th_::_create food and water, protection from energy"
71,16,3,6,19,"7th_::_blight, hallucinatory terrain"
72,16,3,6,20,"9th_::_insect plague, wall of stone"
73,16,3,4,21,"Forest"
74,16,3,5,22,"Druid Level_::_Circle Spells"
75,16,3,6,23,"3rd_::_barkskin, spider climb"
76,16,3,6,24,"5th_::_call lightning, plant growth"
77,16,3,6,25,"7th_::_divination, freedom of movement"
78,16,3,6,26,"9th_::_commune with nature, tree stride"
79,16,3,4,27,"Grassland"
80,16,3,5,28,"Druid Level_::_Circle Spells"
81,16,3,6,29,"3rd_::_invisibility, pass without trace"
82,16,3,6,30,"5th_::_daylight, haste"
83,16,3,6,31,"7th_::_divination, freedom of movement"
84,16,3,6,32,"9th_::_dream, insect plague"
85,16,3,4,33,"Mountain"
86,16,3,5,34,"Druid Level_::_Circle Spells"
87,16,3,6,35,"3rd_::_spider climb, spike growth"
88,16,3,6,36,"5th_::_lightning bolt, meld into stone"
89,16,3,6,37,"7th_::_stone shape, stoneskin"
90,16,3,6,38,"9th_::_passwall, wall of stone"
91,16,3,4,39,"Swamp"
92,16,3,5,40,"Druid Level_::_Circle Spells"
93,16,3,6,41,"3rd_::_acid arrow, darkness"
94,16,3,6,42,"5th_::_water walk, stinking cloud"
95,16,3,6,43,"7th_::_freedom of movement, locate creature"
96,16,3,6,44,"9th_::_insect plague, scrying"
97,17,3,1,0,"Land's Stride"
98,17,3,2,1,"Starting at 6th level, moving through nonmagical difficult terrain costs you no extra movement. You can also pass through nonmagical plants without being slowed by them and without taking damage from them if they have thorns, spines, or a similar hazard."
99,17,3,2,2,"In addition, you have advantage on saving throws against plants that are magically created or manipulated to impede movement, such those created by the entangle spell."
100,18,3,1,0,"Nature's Ward"
101,18,3,2,1,"When you reach 10th level, you can't be charmed or frightened by elementals or fey, and you are immune to poison and disease."
102,19,3,1,0,"Nature's Sanctuary"
