text_id, feature_id, feature_from_class, text_type, text_order, text_text
0,0,4,0,0,"Fighting Style"
1,0,4,2,1,"You adopt a particular style of fighting as your specialty. Choose one of the following options. You can't take a Fighting Style option more than once, even if you later get to choose again."
2,1,4,1,0,"Archery"
3,1,4,2,1,"You gain a +2 bonus to attack rolls you make with ranged weapons."
4,2,4,1,0,"Defense"
5,2,4,2,1,"While you are wearing armor, you gain a +1 bonus to AC."
6,3,4,1,0,"Dueling"
7,3,4,2,1,"When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon."
8,4,4,1,0,"Great Weapon Fighting"
9,4,4,2,1,"When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die and must use the new roll, even if the new roll is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit."
10,5,4,1,0,"Protection"
11,5,4,2,1,"When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield."
12,6,4,1,0,"Two-Weapon Fighting"
13,6,4,2,1,"When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack."
14,7,4,0,0,"Second Wind"
15,7,4,2,1,"You have a limited well of stamina that you can draw on to protect yourself from harm. On your turn, you can use a bonus action to regain hit points equal to 1d10 + your fighter level. Once you use this feature, you must finish a short or long rest before you can use it again."
16,8,4,0,0,"Action Surge"
17,8,4,2,1,"Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action on top of your regular action and a possible bonus action."
18,8,4,2,2,"Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn."
19,9,4,0,0,"Martial Archetype"
20,9,4,2,1,"At 3rd level, you choose an archetype that you strive to emulate in your combat styles and techniques, such as Champion. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level."
21,10,4,0,0,"Ability Score Improvement"
22,10,4,2,1,"When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."
23,11,4,0,0,"Extra Attack"
24,11,4,2,1,"Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn."
25,11,4,2,2,"The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class."
26,12,4,0,0,"Indomitable"
27,12,4,2,1,"Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can't use this feature again until you finish a long rest."
28,12,4,2,2,"You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level."
29,13,4,0,0,"Champion"
30,13,4,2,1,"The archetypal Champion focuses on the development of raw physical power honed to deadly perfection. Those who model themselves on this archetype combine rigorous training with physical excellence to deal devastating blows."
31,14,4,1,0,"Improved Critical"
32,14,4,2,1,"Beginning when you choose this archetype at 3rd level, your weapon attacks score a critical hit on a roll of 19 or 20."
33,15,4,1,0,"Remarkable Athlete"
34,15,4,2,1,"Starting at 7th level, you can add half your proficiency bonus (round up) to any Strength, Dexterity, or Constitution check you make that doesn't already use your proficiency bonus."
35,15,4,2,2,"In addition, when you make a running long jump, the distance you can cover increases by a number of feet equal to your Strength modifier."
36,16,4,1,0,"Additional Fighting Style"
37,16,4,2,1,"At 10th level, you can choose a second option from the Fighting Style class feature."
38,17,4,1,0,"Superior Critical"
39,17,4,2,1,"Starting at 15th level, your weapon attacks score a critical hit on a roll of 18-20."
40,18,4,1,0,"Survivor"
41,18,4,2,1,"At 18th level, you attain the pinnacle of resilience in battle. At the start of each of your turns, you regain hit points equal to 5 + your Constitution modifier if you have no more than half of your hit points left. You don't gain this benefit if you have 0 hit points."
