text_id, feature_id, feature_from_class, text_type, text_order, text_text
0,0,5,0,0,"Unarmored Defense"
1,0,5,2,1,"Beginning at 1st level, while you are wearing no armor and not wielding a shield, your AC equals 10 + your Dexterity modifier + your Wisdom modifier."
2,1,5,0,0,"Martial Arts"
3,1,5,2,1,"At 1st level, your practice of martial arts gives you mastery of combat styles that use unarmed strikes and monk weapons, which are shortswords and any simple melee weapons that don't have the two-handed or heavy property."
4,1,5,2,2,"You gain the following benefits while you are unarmed or wielding only monk weapons and you aren't wearing armor or wielding a shield:"
5,1,5,3,3,"You can use Dexterity instead of Strength for the attack and damage rolls of your unarmed strikes and monk weapons."
6,1,5,3,4,"You can roll a d4 in place of the normal damage of your unarmed strike or monk weapon. This die changes as you gain monk levels, as shown in the Martial Arts column of the Monk table."
7,1,5,3,5,"When you use the Attack action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the Attack action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn."
8,1,5,2,6,"Certain monasteries use specialized forms of the monk weapons. For example, you might use a club that is two lengths of wood connected by a short chain (called a nunchaku) or a sickle with a shorter, straighter blade (called a kama). Whatever name you use for a monk weapon, you can use the game statistics provided for the weapon."
9,2,5,0,0,"Ki"
10,2,5,2,1,"Starting at 2nd level, your training allows you to harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. Your monk level determines the number of points you have, as shown in the Ki Points column of the Monk table."
11,2,5,2,2,"You can spend these points to fuel various ki features. You start knowing three such features: Flurry of Blows, Patient Defense, and Step of the Wind. You learn more ki features as you gain levels in this class."
12,2,5,2,3,"When you spend a ki point, it is unavailable until you finish a short or long rest, at the end of which you draw all of your expended ki back into yourself. You must spend at least 30 minutes of the rest meditating to regain your ki points."
13,2,5,2,4,"Some of your ki features require your target to make a saving throw to resist the feature's effects. The saving throw DC is calculated as follows:"
14,2,5,2,5,"<b>Ki save DC</b> = 8 + your proficiency bonus + your Wisdom modifier"
15,3,5,1,0,"Flurry of Blows"
16,3,5,2,1,"Immediately after you take the Attack action on your turn, you can spend 1 ki point to make two unarmed strikes as a bonus action."
17,4,5,1,0,"Patient Defense"
18,4,5,2,1,"You can spend 1 ki point to take the Dodge action as a bonus action on your turn."
19,5,5,1,0,"Step of the Wind"
20,5,5,2,1,"You can spend 1 ki point to take the Disengage or Dash action as a bonus action on your turn, and your jump distance is doubled for the turn."
21,6,5,0,0,"Unarmored Movement"
22,6,5,2,1,"Starting at 2nd level, your speed increases by 10 feet while you are not wearing armor or wielding a shield. This bonus increases when you reach certain monk levels, as shown in the Monk table."
23,6,5,2,2,"At 9th level, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the move."
24,7,5,0,0,"Monastic Tradition"
25,7,5,2,1,"When you reach 3rd level, you commit yourself to a monastic tradition, such as the Way of the Open Hand. Your tradition grants you features at 3rd level and again at 6th, 11th, and 17th level."
26,8,5,0,0,"Deflect Missiles"
27,8,5,2,1,"Starting at 3rd level, you can use your reaction to deflect or catch the missile when you are hit by a ranged weapon attack. When you do so, the damage you take from the attack is reduced by 1d10 + your Dexterity modifier + your monk level."
28,8,5,2,2,"If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in one hand and you have at least one hand free. If you catch a missile in this way, you can spend 1 ki point to make a ranged attack with the weapon or piece of ammunition you just caught, as part of the same reaction. You make this attack with proficiency, regardless of your weapon proficiencies, and the missile counts as a monk weapon for the attack, which has a normal range of 20 feet and a long range of 60 feet."
29,9,5,0,0,"Ability Score Improvement"
30,9,5,2,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."
31,10,5,0,0,"Slow Fall"
32,10,5,2,1,"Beginning at 4th level, you can use your reaction when you fall to reduce any falling damage you take by an amount equal to five times your monk level."
33,11,5,0,0,"Extra Attack"
34,11,5,2,1,"Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn."
35,12,5,0,0,"Stunning Strike"
36,12,5,2,1,"Starting at 5th level, you can interfere with the flow of ki in an opponent's body. When you hit another creature with a melee weapon attack, you can spend 1 ki point to attempt a stunning strike. The target must succeed on a Constitution saving throw or be stunned until the end of your next turn."
37,13,5,0,0,"Ki-Empowered Strikes"
38,13,5,2,1,"Starting at 6th level, your unarmed strikes count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage."
39,14,5,0,0,"Evasion"
40,14,5,2,1,"At 7th level, your instinctive agility lets you dodge out of the way of certain area effects, such as a blue dragon's lightning breath or a fireball spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail."
41,15,5,0,0,"Stillness of Mind"
42,15,5,2,1,"Starting at 7th level, you can use your action to end one effect on yourself that is causing you to be charmed or frightened."
43,16,5,0,0,"Purity of Body"
44,16,5,2,1,"At 10th level, your mastery of the ki flowing through you makes you immune to disease and poison."
45,17,5,0,0,"Tongue of the Sun and Moon"
46,17,5,2,1,"Starting at 13th level, you learn to touch the ki of other minds so that you understand all spoken languages. Moreover, any creature that can understand a language can understand what you say."
47,18,5,0,0,"Diamond Soul"
48,18,5,2,1,"Beginning at 14th level, your mastery of ki grants you proficiency in all saving throws."
49,18,5,2,2,"Additionally, whenever you make a saving throw and fail, you can spend 1 ki point to reroll it and take the second result."
50,19,5,0,0,"Timeless Body"
51,19,5,2,1,"At 15th level, your ki sustains you so that you suffer none of the frailty of old age, and you can't be aged magically. You can still die of old age, however. In addition, you no longer need food or water."
52,20,5,0,0,"Empty Body"
53,20,5,2,1,"Beginning at 18th level, you can use your action to spend 4 ki points to become invisible for 1 minute. During that time, you also have resistance to all damage but force damage."
54,20,5,2,2,"Additionally, you can spend 8 ki points to cast the astral projection spell, without needing material components. When you do so, you can't take any other creatures with you."
55,21,5,0,0,"Perfect Self"
56,21,5,2,1,"At 20th level, when you roll for initiative and have no ki points remaining, you regain 4 ki points."
57,22,5,0,0,"Way of the Open Hand"
58,22,5,2,1,"Monks of the Way of the Open Hand are the ultimate masters of martial arts combat, whether armed or unarmed. They learn techniques to push and trip their opponents, manipulate ki to heal damage to their bodies, and practice advanced meditation that can protect them from harm."
59,23,5,1,0,"Open Hand Technique"
60,23,5,2,1,"Starting when you choose this tradition at 3rd level, you can manipulate your enemy's ki when you harness your own. Whenever you hit a creature with one of the attacks granted by your Flurry of Blows, you can impose one of the following effects on that target:"
61,23,5,3,2,"It must succeed on a Dexterity saving throw or be knocked prone."
62,23,5,3,3,"It must make a Strength saving throw. If it fails, you can push it up to 15 feet away from you."
63,23,5,3,4,"It can't take reactions until the end of your next turn."
64,24,5,1,0,"Wholeness of Body"
65,24,5,2,1,"At 6th level, you gain the ability to heal yourself. As an action, you can regain hit points equal to three times your monk level. You must finish a long rest before you can use this feature again."
66,25,5,1,0,"Tranquility"
67,25,5,2,1,"Beginning at 11th level, you can enter a special meditation that surrounds you with an aura of peace. At the end of a long rest, you gain the effect of a sanctuary spell that lasts until the start of your next long rest (the spell can end early as normal). The saving throw DC for the spell equals 8 + your Wisdom modifier + your proficiency bonus."
68,26,5,1,0,"Quivering Palm"
69,26,5,2,1,"At 17th level, you gain the ability to set up lethal vibrations in someone's body. When you hit a creature with an unarmed strike, you can spend 3 ki points to start these imperceptible vibrations, which last for a number of days equal to your monk level. The vibrations are harmless unless you use your action to end them. To do so, you and the target must be on the same plane of existence. When you use this action, the creature must make a Constitution saving throw. If it fails, it is reduced to 0 hit points. If it succeeds, it takes 10d10 necrotic damage."
70,26,5,2,2,"You can have only one creature under the effect of this feature at a time. You can choose to end the vibrations harmlessly without using an action."
