text_id, feature_id, feature_from_class, text_type, text_order, text_text
0,0,6,0,0,"Divine Sense"
1,0,6,2,1,"The presence of strong evil registers on your senses like a noxious odor, and powerful good rings like heavenly music in your ears. As an action, you can open your awareness to detect such forces. Until the end of your next turn, you know the location of any celestial, fiend, or undead within 60 feet of you that is not behind total cover. You know the type (celestial, fiend, or undead) of any being whose presence you sense, but not its identity (the vampire Count Strahd von Zarovich, for instance). Within the same radius, you also detect the presence of any place or object that has been consecrated or desecrated, as with the hallow spell."
2,0,6,2,2,"You can use this feature a number of times equal to 1 + your Charisma modifier. When you finish a long rest, you regain all expended uses."
3,1,6,0,0,"Lay on Hands"
4,1,6,2,1,"Your blessed touch can heal wounds. You have a pool of healing power that replenishes when you take a long rest. With that pool, you can restore a total number of hit points equal to your paladin level x 5."
5,1,6,2,2,"As an action, you can touch a creature and draw power from the pool to restore a number of hit points to that creature, up to the maximum amount remaining in your pool."
6,1,6,2,3,"Alternatively, you can expend 5 hit points from your pool of healing to cure the target of one disease or neutralize one poison affecting it. You can cure multiple diseases and neutralize multiple poisons with a single use of Lay on Hands, expending hit points separately for each one."
7,1,6,2,4,"This feature has no effect on undead and constructs."
8,2,6,0,0,"Fighting Style"
9,2,6,2,1,"At 2nd level, you adopt a style of fighting as your specialty. Choose one of the following options. You can't take a Fighting Style option more than once, even if you later get to choose again."
10,3,6,1,0,"Defense"
11,3,6,2,1,"While you are wearing armor, you gain a +1 bonus to AC."
12,4,6,1,0,"Dueling"
13,4,6,2,1,"When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon."
14,5,6,1,0,"Great Weapon Fighting"
15,5,6,2,1,"When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die and must use the new roll. The weapon must have the two-handed or versatile property for you to gain this benefit."
16,6,6,1,0,"Protection"
17,6,6,2,1,"When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield."
18,7,6,0,0,"Spellcasting"
19,7,6,2,1,"By 2nd level, you have learned to draw on divine magic through meditation and prayer to cast spells as a cleric does."
20,8,6,1,0,"Preparing and Casting Spells"
