text_id, feature_id, feature_from_class, text_type, text_order, text_text
0,0,10,0,0,"Otherworldly Patron"
1,0,10,2,1,"At 1st level, you have struck a bargain with an otherworldly being of your choice: the Archfey, the Fiend, or the Great Old One, each of which is detailed at the end of the class description. Your choice grants you features at 1st level and again at 6th, 10th, and 14th level."
2,1,10,0,0,"Pact Magic"
3,1,10,2,1,"Your arcane research and the magic bestowed on you by your patron have given you facility with spells."
4,2,10,1,0,"Cantrips"
5,2,10,2,1,"You know two cantrips of your choice from the warlock spell list. You learn additional warlock cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Warlock table."
6,3,10,1,0,"Spell Slots"
7,3,10,2,1,"The Warlock table shows how many spell slots you have. The table also shows what the level of those slots is; all of your spell slots are the same level. To cast one of your warlock spells of 1st level or higher, you must expend a spell slot. You regain all expended spell slots when you finish a short or long rest."
8,3,10,2,2,"For example, when you are 5th level, you have two 3rd-level spell slots. To cast the 1st-level spell thunderwave, you must spend one of those slots, and you cast it as a 3rd-level spell."
9,4,10,1,0,"Spells Known of Ist Level and Higher"
10,4,10,2,1,"At 1st level, you know two 1st-level spells of your choice from the warlock spell list."
11,4,10,2,2,"The Spells Known column of the Warlock table shows when you learn more warlock spells of your choice of 1st level and higher. A spell you choose must be of a level no higher than what's shown in the table's Slot Level column for your level. When you reach 6th level, for example, you learn a new warlock spell, which can be 1st, 2nd, or 3rd level."
12,4,10,2,3,"Additionally, when you gain a level in this class, you can choose one of the warlock spells you know and replace it with another spell from the warlock spell list, which also must be of a level for which you have spell slots."
13,5,10,1,0,"Spellcasting Ability"
14,5,10,2,1,"Charisma is your spellcasting ability for your warlock spells, so you use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a warlock spell you cast and when making an attack roll with one."
15,5,10,2,2,"<b>Spell save DC</b> = 8 + your proficiency bonus + your Charisma modifier"
16,5,10,2,3,"<b>Spell attack modifier</b> = your proficiency bonus + your Charisma modifier"
17,6,10,1,0,"Ritual Casting"
18,6,10,2,1,"You can any warlock spell you know as a ritual if that spell has the ritual tag."
19,7,10,1,0,"Spellcasting Focus"
20,7,10,2,1,"You can use an arcane focus as a spellcasting focus for your warlock spells."
21,8,10,0,0,"Eldritch Invocations"
22,8,10,2,1,"In your study of occult lore, you have unearthed eldritch invocations, fragments of forbidden knowledge that imbue you with an abiding magical ability."
23,8,10,2,2,"At 2nd level, you gain two eldritch invocations of your choice. Your invocation options are detailed at the end of the class description. When you gain certain warlock levels, you gain additional invocations of your choice, as shown in the Invocations Known column of the Warlock table."
24,8,10,2,3,"Additionally, when you gain a level in this class, you can choose one of the invocations you know and replace it with another invocation that you could learn at that level."
25,9,10,0,0,"Pact Boon"
26,9,10,2,1,"At 3rd level, your otherworldly patron bestows a gift upon you for your loyal service. You gain one of the following features of your choice."
27,10,10,1,0,"Pact of the Chain"
28,10,10,2,1,"You learn the find familiar spell and can cast it as a ritual. The spell doesn't count against your number of spells known."
29,10,10,2,2,"When you cast the spell, you can choose one of the normal forms for your familiar or one of the following special forms: imp, pseudodragon, quasit, or sprite."
30,10,10,2,3,"Additionally, when you take the Attack action, you can forgo one of your own attacks to allow your familiar to make one attack of its own with its reaction."
31,11,10,1,0,"Pact of the Blade"
32,11,10,2,1,"You can use your action to create a pact weapon in your empty hand. You can choose the form that this melee weapon takes each time you create it. You are proficient with it while you wield it. This weapon counts as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage."
