Spell_ID,Spell_Name,Level,School,Ritual,Casting Time,Range,Verbal,Somatic,Focus,Duration,Concentration,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard
1,Acid Splash,0,Conjuration,0,Action,60 feet,1,1,0,Instantaneous,0,0,0,0,0,0,1,0,1
3,Alarm,1,Abjuration,1,1 Minute,30 feet,1,1,1,8 hours,0,0,0,0,0,1,0,0,1
5,Animal Friendship,1,Enchantment,0,Action,30 feet,1,1,1,24 hours,0,1,0,1,0,1,0,0,0
21,Bane,1,Enchantment,0,Action,30 feet,1,1,1,1 minute,1,1,1,0,0,0,0,0,0
28,Bless,1,Enchantment,0,Action,30 feet,1,1,1,1 minute,1,0,1,0,1,0,0,0,0
34,Burning Hands,1,Evocation,0,Action,Self,1,1,0,Instantaneous,0,0,0,0,0,0,1,0,1
38,Charm Person,1,Enchantment,0,Action,30 feet,1,1,0,1 hour,0,1,0,1,0,0,1,1,1
39,Chill Touch,0,Necromancy,0,Action,120 feet,1,1,0,1 round,0,0,0,0,0,0,1,1,1
44,Color Spray,1,Illusion,0,Action,Self (15-foot cone),1,1,1,1 round,0,0,0,0,0,0,1,0,1
45,Command,1,Enchantment,0,Action,60 feet,1,0,0,1 round,0,0,1,0,1,0,0,0,0
48,Comprehend Languages,1,Divination,1,Action,Self,1,1,1,1 hour,0,1,0,0,0,0,1,1,1
66,Create or Destroy Water,1,Transmutation,0,Action,30 feet,1,1,1,Instantaneous,0,0,1,1,0,0,0,0,0
69,Cure Wounds,1,Evocation,0,Action,Touch,1,1,0,Instantaneous,0,1,1,1,1,1,0,0,0
70,Dancing Lights,0,Evocation,0,Action,120 feet,1,1,1,1 minute,1,1,0,0,0,0,1,0,1
77,Detect Evil and Good,1,Divination,0,Action,Self,1,1,0,10 minutes,1,0,1,0,1,0,0,0,0
78,Detect Magic,1,Divination,1,Action,Self,1,1,0,10 minutes,1,1,1,1,1,1,1,0,1
79,Detect Poison and Disease,1,Divination,1,Action,Self,1,1,1,10 minutes,1,0,1,1,1,1,0,0,0
82,Disguise Self,1,Illusion,0,Action,Self,1,1,0,1 hour,0,1,0,0,0,0,1,0,1
87,Divine Favor,1,Evocation,0,Bonus Action,Self,1,1,0,1 minute,1,0,0,0,1,0,0,0,0
93,Druidcraft,0,Transmutation,0,Action,30 feet,1,1,0,Instantaneous,0,0,0,1,0,1,0,0,0
95,Eldritch Blast,0,Evocation,0,Action,120 feet,1,1,0,Instantaneous,0,0,0,0,0,0,0,1,0
98,Entangle,1,Conjuration,0,Action,90 feet,1,1,0,1 minute,1,0,0,1,0,0,0,0,0
101,Expeditious Retreat,1,Transmutation,0,Bonus Action,Self,1,1,0,10 minutes,1,0,0,0,0,0,1,1,1
104,Faerie Fire,1,Evocation,0,Action,60 feet,1,0,0,1 minute,1,1,0,0,0,0,0,0,0
106,False Life,1,Necromancy,0,Action,Self,1,1,1,1 hour,0,0,0,0,0,0,1,0,1
108,Feather Fall,1,Transmutation,0,Reaction,60 feet,1,0,1,1 minute,0,0,0,0,0,0,1,0,1
110,Find Familiar,1,Conjuration,1,1 Hour,10 feet,1,1,1,Instantaneous,0,0,0,0,0,0,0,0,1
116,Fire Bolt,0,Evocation,0,Action,120 feet,1,1,0,Instantaneous,0,0,0,0,0,0,1,0,1
123,Floating Disk,1,Conjuration,1,Action,30 feet,1,1,1,1 hour,0,0,0,0,0,0,0,0,1
125,Fog Cloud,1,Conjuration,0,Action,120 feet,1,1,0,1 hour,1,0,0,1,0,1,1,0,1
139,Goodberry,1,Transmutation,0,Action,Touch,1,1,1,Instantaneous,0,0,0,1,0,1,0,0,0
140,Grease,1,Conjuration,0,Action,60 feet,1,1,1,1 minute,0,0,0,0,0,0,0,0,1
145,Guidance,0,Divination,0,Action,Touch,1,1,0,1 minute,1,0,1,1,0,0,0,0,0
146,Guiding Bolt,1,Evocation,0,Action,120 feet,1,1,0,1 round,0,0,1,0,0,0,0,0,0
153,Healing Word,1,Evocation,0,Bonus Action,60 feet,1,0,0,Instantaneous,0,1,1,1,0,0,0,0,0
155,Hellish Rebuke,1,Evocation,0,Reaction,60 feet,1,1,0,Instantaneous,0,0,0,0,0,0,0,1,0
157,Heroism,1,Enchantment,0,Action,Touch,1,1,0,1 minute,1,1,0,0,1,0,0,0,0
158,Hideous Laughter,1,Enchantment,0,Action,30 feet,1,1,1,1 minute,1,1,0,0,0,0,0,0,1
162,Hunter's Mark,0,Divination,0,Bonus Action,90 feet,1,0,0,1 hour,0,0,0,0,0,1,0,0,0
165,Identify,1,Divination,1,1 Minute,Touch,1,1,1,Instantaneous,0,1,0,0,0,0,0,0,1
166,Illusory Script,1,Illusion,1,1 Minute,Touch,0,1,1,10 days,0,1,0,0,0,0,0,1,1
169,Inflict Wounds,1,Necromancy,0,Action,Touch,1,1,0,Instantaneous,0,0,1,0,0,0,0,0,0
174,Jump,1,Transmutation,0,Action,Touch,1,1,1,1 minute,0,0,0,1,0,1,1,0,1
179,Light,0,Evocation,0,Action,Touch,1,0,1,1 hour,0,1,1,0,0,0,1,0,1
